sample.size	repeat.	MLR.R2	MLR.rmse	OK.rmse	PK.rmse	QRF.rmse	GWR.rmse	RBF.rmse
100	1	0.933305301470682	0.0537037644535303	0.161200461909175	0.0590729082468897	0.981411798857152	0.611180156236514	0.436042659217492
100	2	0.386616793461144	0.717021447606385	0.844643974909559	0.585732913110405	0.845700266072527	0.338470832910389	0.645297680050135
100	3	0.080413973890245	0.44486870104447	0.83952482487075	0.168772897217423	0.972489479696378	0.175175545969978	0.872463251464069
100	4	0.090598541079089	0.0637691537849605	0.73351265466772	0.149227756541222	0.894420992583036	0.0509823327884078	0.447091695386916
100	5	0.241450526984408	0.0642457597423345	0.389175243210047	0.0464581598062068	0.539270273642614	0.940795917529613	0.238756326725706
100	6	0.81800413900055	0.85525265103206	0.850157197099179	0.695929922396317	0.291532564675435	0.206063058460131	0.659274769248441
100	7	0.00941331195645034	0.601235524285585	0.193960015429184	0.538786234566942	0.23411139077507	0.515152040170506	0.0924863605760038
100	8	0.799392407294363	0.432232131948695	0.158930888166651	0.526562171988189	0.145541258621961	0.032041703350842	0.484581536846235
100	9	0.681965528987348	0.681585625279695	0.337298683356494	0.991428466048092	0.56014858209528	0.869468148099259	0.96900203707628
100	10	0.791062447475269	0.487395162461326	0.448181999614462	0.483498433139175	0.847309594741091	0.903622924815863	0.918013556394726
200	1	0.680630677146837	0.572305595967919	0.983292595949024	0.584529081359506	0.971145653165877	0.202383476542309	0.53810424101539
200	2	0.387905767187476	0.801149552455172	0.0276033701375127	0.744918070500717	0.746466307668015	0.419363799737766	0.0641505508683622
200	3	0.044424106599763	0.366811296204105	0.317715181037784	0.857371773337945	0.69404894229956	0.629930215654895	0.268293946050107
200	4	0.925810166634619	0.668088305741549	0.60093375435099	0.603195835836232	0.058521083323285	0.0661185949575156	0.215045773889869
200	5	0.640464233001694	0.426578172016889	0.115502340719104	0.120494285598397	0.431866619037464	0.843683446059003	0.274649357656017
200	6	0.879571285331622	0.712631801376119	0.76503042737022	0.0311546090524644	0.357540324795991	0.0424464761745185	0.61241581174545
200	7	0.70525689702481	0.721347332932055	0.0609428726602346	0.238144846400246	0.242133641848341	0.859130968572572	0.289821390528232
200	8	0.586138740414754	0.29542249138467	0.116080524399877	0.950926603516564	0.77116692205891	0.534410585416481	0.151953251566738
200	9	0.12781857419759	0.88097135303542	0.54571294831112	0.656295374734327	0.561183649580926	0.0932619844097644	0.64469074876979
200	10	0.77641592011787	0.991364099318162	0.462675172137097	0.547411544946954	0.847728349501267	0.893932924373075	0.88407238968648
300	1	0.503423243761063	0.455151135101914	0.535334789426997	0.720553014194593	0.4677323193755	0.63737748702988	0.0339380269870162
300	2	0.00463167857378721	0.349687284324318	0.103755967924371	0.690733693307266	0.20969875738956	0.411579916253686	0.438031155616045
300	3	0.562491508200765	0.150370497722179	0.742802156368271	0.242405039491132	0.547858362318948	0.586350507568568	0.728228813037276
300	4	0.848842239473015	0.332223179750144	0.0594651678111404	0.696554983733222	0.249860558193177	0.784482983872294	0.442337064538151
300	5	0.507836898090318	0.389148580143228	0.842371542006731	0.984248819062486	0.856613937299699	0.0954900607466698	0.560449628159404
300	6	0.262512510409579	0.318531838012859	0.911793700186536	0.132769567659125	0.67471625097096	0.106464763637632	0.886320020770654
300	7	0.212014500051737	0.938040511449799	0.721117875073105	0.433586506871507	0.803267199778929	0.103009302634746	0.51069318735972
300	8	0.654324554372579	0.396091079805046	0.843979096971452	0.682563598267734	0.325978672364727	0.348403102485463	0.541324039455503
300	9	0.981618464691564	0.753855681046844	0.780028491979465	0.868469892768189	0.607927763368934	0.137862357776612	0.702211016789079
300	10	0.252325288485736	0.606235824758187	0.928401711164042	0.710252430522814	0.783274018671364	0.0630008173175156	0.461315210210159
